   7.00000003E-02  0.689999998      0.196000010    
   9.00000036E-02  0.689999998      0.119999997    
  0.119999997      0.685999990      0.261999995    
  0.170000002      0.829999983       7.99999982E-02
  0.179000005      0.750000000       3.99999991E-02
  0.199000001      0.750000000       5.00000007E-02
  0.200000003      0.729000032      0.296000004    
  0.270000011      0.769999981      0.140000001    
  0.280000001      0.888000011      0.365999997    
  0.351999998      0.829999983      0.140000001    
  0.379999995      0.814999998       1.89999994E-02
  0.380199999      0.829999983      0.135000005    
  0.400000006      0.949999988      0.170000002    
  0.400400013      0.769999981      0.101999998    
  0.424699992      0.870999992      0.111999996    
  0.439999998      0.825999975       7.80000016E-02
  0.449699998      0.928000033      0.128999993    
  0.478300005      0.809000015       9.00000036E-02
  0.479999989      0.970000029      0.620000005    
  0.509999990      0.904000044       1.89999994E-02
  0.592999995       1.03999996      0.129999995    
  0.600000024      0.879000008       6.10000007E-02
  0.610000014      0.973000050       2.09999997E-02
  0.680000007      0.920000017       7.99999982E-02
  0.730000019      0.973000050       7.00000003E-02
  0.781000018       1.04999995      0.119999997    
  0.875000000       1.25000000      0.170000002    
  0.879999995      0.899999976      0.400000006    
  0.899999976       1.16999996      0.230000004    
   1.03699994       1.53999996      0.200000003    
   1.29999995       1.67999995      0.170000002    
   1.36300004       1.60000002      0.335999995    
   1.42999995       1.76999998      0.180000007    
   1.52999997       1.39999998      0.140000001    
   1.75000000       2.01999998      0.400000006    
   1.96500003       1.86500001      0.504000008    
   2.33999991       2.22000003       7.00000003E-02
   2.35999990       2.25999999       7.99999982E-02
